:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
51,12419,11,10,4,MANHATTAN,Other Vehicular,Unsafe Lane Changing,,,,,2017-09-15T00:00:00.000,40.76161,POINT (-73.97076 40.76161),,,,,-73.97076,0,0,0,0,0,0,0,0,EAST 57 STREET,PARK AVENUE                     ,16:35,3751081,TAXI,PASSENGER VEHICLE,,,,10022
35,13093,7,16,4,,View Obstructed/Limited,View Obstructed/Limited,,,,,2017-09-15T00:00:00.000,40.796356,POINT (-73.932205 40.796356),,,,,-73.932205,0,0,0,0,0,0,0,0,,PLEASANT AVENUE                 ,22:15,3751409,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
5,14784,66,68,3,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.741016,POINT (-73.88127 40.741016),,,,,-73.88127,0,0,0,0,0,0,0,0,,WHITNEY AVENUE                  ,14:00,3752286,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
16,14508,25,65,3,QUEENS,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.735603,POINT (-73.77516 40.735603),,,,,-73.77516,0,0,0,0,0,0,0,0,197 STREET,73 AVENUE                       ,16:50,3751080,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11366
,,,,,,Traffic Control Disregarded,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,3,0,0,0,3,0,CLEARVIEW EXPRESSWAY,26 AVENUE                       ,10:50,3750888,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
40,,29,30,5,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.87699,POINT (-73.87083 40.87699),,,,,-73.87083,0,0,0,0,0,0,0,0,,,18:00,3751383,PASSENGER VEHICLE,,,,,
42,10929,50,27,5,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.826794,POINT (-73.92245 40.826794),,,,,-73.92245,0,0,0,0,0,0,0,0,,EAST 161 STREET                 ,13:30,3751825,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
5,14787,66,68,3,QUEENS,Unspecified,Unspecified,,,,73-24     BROADWAY                      ,2017-09-15T00:00:00.000,40.746758,POINT (-73.89166 40.746758),,,,,-73.89166,0,0,0,0,0,0,0,0,,,12:05,3752285,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11414
,,,,,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,JAMAICA AVENUE,VANWYCK EXPRESSWAY              ,12:30,3751215,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
16,24336,25,65,3,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.72176,POINT (-73.76001 40.72176),,,,,-73.76001,0,0,0,0,0,0,0,0,FOOTHILL AVENUE,FRANCIS LEWIS BOULEVARD         ,15:55,3751088,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
47,20530,51,58,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.590893,POINT (-73.80114 40.590893),,,,,-73.80114,0,0,0,0,0,0,0,0,BEACH CHANNEL DRIVE,BEACH 73 STREET                 ,21:30,3751003,SPORT UTILITY / STATION WAGON,,,,,
41,24017,46,60,3,QUEENS,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.691162,POINT (-73.84598 40.691162),,,,,-73.84598,0,0,0,0,0,0,0,0,98 STREET,91 AVENUE                       ,12:30,3750918,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11421
11,13510,60,43,2,BROOKLYN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.650528,POINT (-73.95583 40.650528),,,,,-73.95583,0,0,0,0,0,0,0,0,CHURCH AVENUE,BEDFORD AVENUE                  ,13:10,3750797,SPORT UTILITY / STATION WAGON,,,,,11226
40,11605,24,34,5,,Unspecified,,,,,,2017-09-15T00:00:00.000,40.872585,POINT (-73.88128 40.872585),,,,,-73.88128,0,0,0,0,0,0,0,0,,BAINBRIDGE AVENUE               ,18:00,3751382,PASSENGER VEHICLE,,,,,
22,10936,6,29,5,BRONX,Reaction to Other Uninvolved Vehicle,Driver Inattention/Distraction,,,,,2017-09-15T00:00:00.000,40.859303,POINT (-73.89884 40.859303),,,,,-73.89884,0,0,1,0,0,0,1,0,EAST 184 STREET,GRAND CONCOURSE                 ,18:35,3751662,TAXI,SPORT UTILITY / STATION WAGON,,,,10468
35,10929,50,27,5,,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.82317,POINT (-73.9275 40.82317),,,,,-73.9275,0,0,0,0,0,0,0,0,,GERARD AVENUE                   ,19:44,3751823,SPORT UTILITY / STATION WAGON,,,,,
31,11611,58,26,5,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.828022,POINT (-73.84604 40.828022),,,,,-73.84604,0,0,0,0,0,0,0,0,,,14:40,3752053,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
34,24017,54,62,3,QUEENS,Passing or Lane Usage Improper,Unspecified,,,,,2017-09-15T00:00:00.000,40.702976,POINT (-73.85876 40.702976),,,,,-73.85876,0,0,0,0,0,0,0,0,88 STREET,MYRTLE AVENUE                   ,17:30,3752284,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11385
40,10936,24,34,5,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.873592,POINT (-73.88506 40.873592),,,,,-73.88506,0,0,1,0,0,0,1,0,,EAST 203 STREET                 ,8:15,3751379,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
27,13514,14,48,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.68567,POINT (-74.00486 40.68567),,,,,-74.00486,0,0,0,0,0,0,0,0,VAN BRUNT STREET,SACKETT STREET                  ,10:10,3751218,PICK-UP TRUCK,PASSENGER VEHICLE,,,,11231
19,12420,20,12,4,MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,200       COLUMBUS AVENUE               ,2017-09-15T00:00:00.000,40.775578,POINT (-73.980156 40.775578),,,,,-73.980156,0,0,0,0,0,0,0,0,,,12:35,3751146,SPORT UTILITY / STATION WAGON,,,,,10023
,,,,,QUEENS,Backing Unsafely,,,,,13817     Hillside Ave                  ,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,1,0,1,0,,,16:41,3751094,PASSENGER VEHICLE,,,,,11435
51,12419,71,9,4,MANHATTAN,Failure to Yield Right-of-Way,Unspecified,,,,163       EAST 52 STREET                ,2017-09-15T00:00:00.000,40.757454,POINT (-73.97074 40.757454),,,,,-73.97074,0,0,0,0,0,0,0,0,,,19:00,3751043,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10022
48,16865,68,55,2,,Other Vehicular,Other Vehicular,,,,,2017-09-15T00:00:00.000,40.696175,POINT (-73.98036 40.696175),,,,,-73.98036,0,0,1,0,0,0,1,0,,NAVY STREET                     ,23:00,3750986,PASSENGER VEHICLE,,,,,
50,11724,71,7,4,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,169       3 AVENUE                      ,2017-09-15T00:00:00.000,40.734745,POINT (-73.986115 40.734745),,,,,-73.986115,0,0,0,0,0,0,0,0,,,22:15,3751157,SPORT UTILITY / STATION WAGON,,,,,10003
28,14785,40,70,3,QUEENS,Failure to Yield Right-of-Way,,,,,,2017-09-15T00:00:00.000,40.730137,POINT (-73.862366 40.730137),,,,,-73.862366,0,0,0,0,1,0,1,0,QUEENS BOULEVARD,63 ROAD                         ,10:30,3750898,SPORT UTILITY / STATION WAGON,,,,,11374
30,17213,36,56,2,,Other Vehicular,Failure to Yield Right-of-Way,,,,,2017-09-15T00:00:00.000,40.70163,POINT (-73.94054 40.70163),,,,,-73.94054,0,0,0,0,0,0,0,0,,HUMBOLDT STREET                 ,13:55,3751208,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
32,12075,57,2,4,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.721447,POINT (-73.997406 40.721447),,,,,-73.997406,0,0,0,0,0,0,0,0,CLEVELAND PLACE,KENMARE STREET                  ,0:00,3751237,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10012
42,10934,50,27,5,BRONX,Reaction to Other Uninvolved Vehicle,Unspecified,,,,,2017-09-15T00:00:00.000,40.83142,POINT (-73.91831 40.83142),,,,,-73.91831,0,0,0,0,0,0,0,0,EAST 166 STREET,SHERIDAN AVENUE                 ,14:40,3750770,PASSENGER VEHICLE,,,,,10456
51,12079,11,10,4,MANHATTAN,Driver Inattention/Distraction,Oversized Vehicle,,,,,2017-09-15T00:00:00.000,40.753994,POINT (-73.9742 40.753994),,,,,-73.9742,0,0,0,0,0,0,0,0,LEXINGTON AVENUE,EAST 46 STREET                  ,7:00,3750761,TAXI,,,,,10017
17,16866,61,40,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.654682,POINT (-73.94134 40.654682),,,,,-73.94134,0,0,0,0,0,0,0,0,EAST 39 STREET,LENOX ROAD                      ,15:15,3751584,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11203
