Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
1,1,0,0,1,2016,49219,1019940.705,250583.6019,BRONX RIVER PARKWAY EXIT 6 NB,BOSTON ROAD
1,1,0,0,1,2016,27203,1008957.27,185699.4915,ATLANTIC AVENUE,ROCKAWAY AVENUE
1,1,0,0,1,2016,44093,1007745.369,245041.1753,EAST 170 STREET,WYTHE PLACE
1,1,0,0,1,2016,23418,992454.8323,228572.7936,AMSTERDAM AVENUE,WEST 96 STREET
1,1,0,0,1,2016,12731,983820.8506,158397.9395,20 AVENUE,BATH AVENUE
1,1,0,0,1,2016,23636,997841.0256,220070.5373,YORK AVENUE,EAST 78 STREET
1,0,0,1,1,2016,5215,948925.4985,146086.0714,AMBER STREET,AMBOY ROAD
1,1,0,0,1,2016,43732,1003371.877,248277.5895,AMSTERDAM AVENUE,WEST 181 STREET
1,0,0,1,1,2016,2475,937509.2454,131191.2492,HYLAN BOULEVARD,ALLEN PLACE
1,0,0,1,1,2016,54303,1024100.415,261325.3157,BRONXWOOD AVENUE,EAST 222 STREET
1,0,1,0,1,2016,16715,994774.247,157221.2981,EAST 9 STREET,AVENUE U
1,0,1,0,1,2016,53646,1024286.015,250375.8202,TOMLINSON AVENUE,NEILL AVENUE
1,1,0,0,1,2016,51702,1026950.481,225016.4949,COLLEGE POINT BOULEVARD,15 AVENUE
1,1,0,0,1,2016,20760,987744.4615,200974.1161,DELANCEY STREET,NORFOLK STREET
1,1,0,0,2,2016,39324,1057597.833,181766.7536,SOUTH CONDUIT AVENUE,243 STREET
1,0,0,1,2,2016,43658,1003967.637,242666.4429,WEST 164 STREET,NELSON AVENUE
1,0,0,1,2,2016,20084,981967.9179,202308.2831,LAIGHT STREET,HOLLAND TUNNEL EXIT
1,1,0,0,2,2016,47861,1011174.201,246996.1681,CROSS BRONX EXPRESSWAY,WEBSTER AVENUE
1,0,0,1,2,2016,58296,1031674.435,262822.77,LIGHT STREET,PROVOST AVENUE
1,1,0,0,2,2016,13443,984884.7034,166499.9275,65 STREET,NEW UTRECHT AVENUE
1,1,0,0,2,2016,21508,989230.5543,212176.1144,EAST 36 STREET,MADISON AVENUE
1,1,0,0,2,2016,26822,1002811.642,186138.0766,ATLANTIC AVENUE,SCHENECTADY AVENUE
1,1,0,0,2,2016,43356,1000537.759,245018.3243,BROADWAY,WEST 165 STREET
1,1,0,0,2,2016,21212,984088.1466,215324.6511,11 AVENUE,WEST 37 STREET
1,0,0,1,2,2016,49138,1017650.119,257602.9839,EAST 204 STREET,EAST 205 STREET
