YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
2006,4.99,2.88,0.8,5.56,4.62,8.55,6.16,6.08,3.69,7.07,7.34,2.15,59.89
2007,3.63,1.99,5.35,13.05,1.88,6.55,6.89,7.18,1.81,4.65,3.47,5.22,61.67
2008,2.85,5.95,4.08,2.77,4.01,4.7,2.84,5.58,7.05,3.62,3.54,6.62,53.61
2009,2.98,0.93,1.75,4.69,5.17,10.05,7.11,4.22,2.26,5.58,1.61,7.27,53.62
2010,2.08,6.69,10.69,2.99,3.01,2.2,2.6,4.14,3.67,4.91,2.15,4.24,49.37
2011,4.93,3.47,6.19,5.35,5.11,3.25,3.03,18.95,9.39,6.09,3.05,4,72.81
2012,3.23,1.37,0.96,3.56,5.38,2.97,4.21,2.91,4.39,2.92,1.81,4.8,38.51
2013,2.76,4.25,2.9,1.31,8,10.1,2.84,2.85,2.95,0.36,3.15,4.85,46.32
2014,2.79,5.48,3.67,7.85,4.37,4.26,5.59,2.25,1.21,5.77,4.51,6.04,53.79
2015,5.23,2.04,4.72,2.08,1.86,4.79,3.98,2.35,3.28,3.91,2.01,4.72,40.97
2016,4.41,4.4,1.17,1.61,3.75,2.6,7.02,1.97,2.79,4.15,5.41,2.89,42.17
2017,4.83,2.48,5.25,3.84,6.38,4.76,,,,,,,27.54
